,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
61,14.0,A,SEGUNDA RETIRO,0.0857432279689907,2.0,2.16045325784385,0.0,0.0,111.320353243244,97.1937128350893,198.943664612299,500.88603647685,2017-09,Seguros de Retiro,5.09
62,15.0,A,SMG RETIRO,0.00605397435085061,82.0,1.16775352338767,0.0,0.0,131.073656715165,98.7253459489935,576.353111899072,160.921162338545,2017-09,Seguros de Retiro,0.36
63,16.0,A,ZURICH RETIRO,0.0,1.0,2.47074282000453,0.0,0.0,253.34015991106,96.2414922687754,-30.9347466666667,57.1831314524646,2017-09,Seguros de Retiro,0.0
64,1.0,A,BINARIA RETIRO,0.023754741879967,47.0,3.38221728976972,0.0,0.0,115.362404887278,96.4457332216539,217.857676930642,492.584225098874,2017-06,Seguros de Retiro,1.45
65,2.0,A,CREDICOOP RETIRO,0.0119115683256964,32.0,4.32673461236958,0.0,0.0,118.026761059634,95.2401188063488,289.427749342453,37.8576589355713,2017-06,Seguros de Retiro,0.73
66,3.0,A,ESTRELLA RETIRO,1.14582658163169,56.0,1.32422588588438,0.0,0.0,105.432064258594,97.999462273751,27.2856640711979,0.0,2017-06,Seguros de Retiro,69.84
67,4.0,A,EXPERTA RETIRO,0.0,8.0,1.8416772864679,0.0,0.0,143.46555317225,95.996022643964,-8.37629,116.119263386856,2017-06,Seguros de Retiro,0.0
68,5.0,A,FED. PATRONAL RETIRO,0.000274406000391064,1.0,3.91153598766438,0.0,0.0,0.0,94.2077916391893,48.060315,0.0,2017-06,Seguros de Retiro,0.02
69,6.0,A,GALICIA RETIRO,3.53674093831956e-05,11.0,2.9622444543145,0.0,0.0,135.799623503867,95.7017550889178,27.69016,86.0041183485618,2017-06,Seguros de Retiro,0.0
70,7.0,A,HSBC RETIRO,0.0715819915787163,0.0,3.01096268817255,0.0,0.0,119.800564201116,96.5803644030707,337.379308195782,35.2494489685704,2017-06,Seguros de Retiro,4.36
71,8.0,A,INST. ENTRE RÍOS RETIRO,0.019496239237899,5.0,1.35404998439622,0.0,0.0,135.487723076401,85.6122455258151,108.855176666667,0.0,2017-06,Seguros de Retiro,1.19
72,9.0,A,METLIFE  RETIRO,0.00334164380770452,612.0,9.09746413221415,0.0,0.0,124.902733501797,86.6857779231686,284.03642507287,124.428966205213,2017-06,Seguros de Retiro,0.2
73,10.0,A,NACIÓN RETIRO,0.160330401465624,1405.0,1.97891803417558,0.0,0.0,118.45921912254,97.6302742199458,309.902689762653,78.7686802088369,2017-06,Seguros de Retiro,9.77
74,11.0,A,ORÍGENES RETIRO,0.08683377507097,2780.0,3.49322011937328,0.0,0.0,106.725091722549,95.5403544042966,26.3002954896351,186.307552525456,2017-06,Seguros de Retiro,5.29
75,12.0,A,PROYECCIÓN RETIRO,0.0,6.0,1.84552518301235,0.0,0.0,132.963716906071,97.1467350903135,283.501736666667,0.0,2017-06,Seguros de Retiro,0.0
76,13.0,A,SAN CRISTÓBAL RETIRO,0.0414368842134267,64.0,2.62046223647809,0.0,0.0,123.032072740015,95.2812856446193,148.74450437073,117.519640853239,2017-06,Seguros de Retiro,2.53
77,14.0,A,SEGUNDA RETIRO,0.067830325557629,2.0,2.11402919617656,0.0,0.0,110.608213440318,97.196889613409,188.852962786589,524.439130068773,2017-06,Seguros de Retiro,4.13
78,15.0,A,SMG RETIRO,0.00808498111543536,78.0,1.74307430516407,0.0,0.0,130.083972729139,98.2194270557712,547.253130059323,211.52906821022,2017-06,Seguros de Retiro,0.49
79,16.0,A,ZURICH RETIRO,0.0,1.0,3.60279986156745,0.0,0.0,253.688754161662,95.5683277389709,4.53812,143.135672227674,2017-06,Seguros de Retiro,0.0
80,1.0,A,BINARIA RETIRO,0.0260735037140179,47.0,2.36705326977575,0.0,0.0,114.901671063391,97.1431882794472,218.002362098326,568.40760430199,2017-03,Seguros de Retiro,1.58
81,2.0,A,CREDICOOP RETIRO,0.0122096920209671,33.0,3.28821997384724,0.0,0.0,117.988867011311,96.16532522336,314.227599494773,83.7321420970268,2017-03,Seguros de Retiro,0.74
82,3.0,A,ESTRELLA RETIRO,1.16071457074933,59.0,1.1441801182304,0.0,0.0,105.067100453301,98.3298444558363,11.4835964360746,0.0,2017-03,Seguros de Retiro,70.23
83,4.0,A,EXPERTA RETIRO,0.0,8.0,1.36629927569164,0.0,0.0,145.268346592292,96.3757495500531,-8.388015,101.240030121218,2017-03,Seguros de Retiro,0.0
